Transaction_ID,Customer_ID,Customer_Type,Policy_ID,Policy_Name,Product_Family,Transaction_Date,Month,Year,Quarter,Sales_Channel,Agency_ID,Bank_ID,Transaction_Type,Transaction_Detail,Payment_Cost
1,1,CLP,19,RENDITE,PREVENTION,1/22/2016,1,2016,Q1,Bank,,1,Lost,Maturity,14022.02273
2,1,CLP,1,C.Q.S. PREMIO ANNUO,PROTECTION,1/14/2016,1,2016,Q1,Bank,,9,Lost,Maturity,12684.58869
3,2,CLP,14,EXTERA,INVESTMENT,1/1/2016,1,2016,Q1,Bank,,5,Lost,Maturity,20381.93688
4,3,Retail,11,BUON COMPLEANNO,INVESTMENT,1/3/2016,1,2016,Q1,Agency,1,,Lost,Lapse,759.6895136
5,4,Retail,18,PREVIR,PREVENTION,1/10/2016,1,2016,Q1,Agency,4,,Lost,Maturity,349.7120627
6,5,CLP,3,FUTURO PROTETTO,PROTECTION,1/2/2016,1,2016,Q1,Bank,,6,Lost,Maturity,17562.40689
7,6,Retail,2,COLLETTIVA ERBAVOGLIO GOLD,PROTECTION,1/18/2016,1,2016,Q1,Agency,2,,Lost,Maturity,535.162665
8,7,Retail,12,DOPPIO VALORE,INVESTMENT,1/26/2016,1,2016,Q1,Agency,6,,Lost,Lapse,695.0367687
9,8,CLP,8,EKONOMIA,SAVING,1/6/2016,1,2016,Q1,Bank,,3,Lost,Maturity,13910.20174
10,9,Retail,1,C.Q.S. PREMIO ANNUO,PROTECTION,1/5/2016,1,2016,Q1,Agency,2,,Lost,Lapse,576.35873
11,10,Retail,3,FUTURO PROTETTO,PROTECTION,1/15/2016,1,2016,Q1,Agency,3,,Lost,Surrender/Conversion,457.0095785
12,11,Retail,3,FUTURO PROTETTO,PROTECTION,1/1/2016,1,2016,Q1,Agency,1,,Lost,Lapse,528.3923683
13,11,Retail,8,EKONOMIA,SAVING,1/23/2016,1,2016,Q1,Agency,3,,Lost,Maturity,330.588026
14,12,Retail,8,EKONOMIA,SAVING,1/8/2016,1,2016,Q1,Agency,2,,Lost,Maturity,356.9558576
15,12,Retail,19,RENDITE,PREVENTION,1/31/2016,1,2016,Q1,Agency,5,,Lost,Surrender/Conversion,466.1464656
16,13,Retail,1,C.Q.S. PREMIO ANNUO,PROTECTION,1/23/2016,1,2016,Q1,Agency,1,,Lost,Withdrawal/Non-Redemption,598.4389739
17,14,Retail,1,C.Q.S. PREMIO ANNUO,PROTECTION,1/21/2016,1,2016,Q1,Agency,1,,Lost,Maturity,579.0690192
18,15,CLP,9,CALCOLO,SAVING,1/15/2016,1,2016,Q1,Bank,,1,Lost,Lapse,14491.6105
19,16,Retail,3,FUTURO PROTETTO,PROTECTION,1/28/2016,1,2016,Q1,Agency,1,,Lost,Surrender/Conversion,423.8195465
20,16,Retail,19,RENDITE,PREVENTION,1/12/2016,1,2016,Q1,Agency,2,,Lost,Surrender/Conversion,470.9961186
21,17,Retail,3,FUTURO PROTETTO,PROTECTION,1/22/2016,1,2016,Q1,Agency,2,,Lost,Maturity,562.0235057
22,18,Retail,8,EKONOMIA,SAVING,1/19/2016,1,2016,Q1,Agency,1,,Lost,Lapse,260.9636711
23,19,Retail,19,RENDITE,PREVENTION,1/7/2016,1,2016,Q1,Agency,5,,Lost,Maturity,417.0226493
24,20,Retail,8,EKONOMIA,SAVING,1/7/2016,1,2016,Q1,Agency,2,,Lost,Surrender/Conversion,337.0936829
25,21,Retail,4,GUARDIAN PA,PROTECTION,1/6/2016,1,2016,Q1,Agency,1,,Lost,Surrender/Conversion,595.7563501
26,22,Retail,8,EKONOMIA,SAVING,1/3/2016,1,2016,Q1,Agency,2,,Lost,Maturity,258.6039623
27,23,Retail,10,STEP BY STEP,SAVING,1/21/2016,1,2016,Q1,Agency,1,,Lost,Maturity,334.6431533
28,24,Retail,11,BUON COMPLEANNO,INVESTMENT,1/16/2016,1,2016,Q1,Agency,1,,Lost,Lapse,797.6562537
29,25,CLP,6,CAPITALE DIFFERITO,SAVING,1/18/2016,1,2016,Q1,Bank,,1,Lost,Lapse,10553.03324
30,26,Retail,14,EXTERA,INVESTMENT,1/22/2016,1,2016,Q1,Agency,3,,Lost,Maturity,832.4922099
31,26,Retail,19,RENDITE,PREVENTION,1/23/2016,1,2016,Q1,Agency,5,,Lost,Surrender/Conversion,357.3671148
32,27,Retail,17,OPZIONE RENDITA,PREVENTION,1/30/2016,1,2016,Q1,Agency,6,,Lost,Maturity,470.7844971
33,27,Retail,12,DOPPIO VALORE,INVESTMENT,1/15/2016,1,2016,Q1,Agency,6,,Lost,Lapse,778.5743687
34,28,Retail,9,CALCOLO,SAVING,1/27/2016,1,2016,Q1,Agency,1,,Lost,Surrender/Conversion,258.7245485
35,29,CLP,19,RENDITE,PREVENTION,1/23/2016,1,2016,Q1,Bank,,10,Lost,Lapse,11886.14217
36,30,Retail,8,EKONOMIA,SAVING,1/24/2016,1,2016,Q1,Agency,5,,Lost,Lapse,302.2687666
37,31,Retail,8,EKONOMIA,SAVING,1/26/2016,1,2016,Q1,Agency,6,,Lost,Surrender/Conversion,256.6057876
38,31,Retail,4,GUARDIAN PA,PROTECTION,1/17/2016,1,2016,Q1,Agency,2,,Lost,Lapse,426.9558405
39,31,Retail,13,EAZY INVEST,INVESTMENT,1/17/2016,1,2016,Q1,Agency,1,,Lost,Lapse,879.9395426
40,32,Retail,16,IO DECIDO DIFFERITA,PREVENTION,1/27/2016,1,2016,Q1,Agency,5,,Lost,Surrender/Conversion,448.4801963
41,32,Retail,3,FUTURO PROTETTO,PROTECTION,1/4/2016,1,2016,Q1,Agency,1,,Lost,Lapse,544.9636501
42,33,Retail,19,RENDITE,PREVENTION,1/11/2016,1,2016,Q1,Agency,1,,Lost,Surrender/Conversion,362.1709619
43,33,Retail,12,DOPPIO VALORE,INVESTMENT,1/16/2016,1,2016,Q1,Agency,1,,Lost,Maturity,874.0202712
44,33,Retail,3,FUTURO PROTETTO,PROTECTION,1/4/2016,1,2016,Q1,Agency,2,,Lost,Lapse,564.6376549
45,34,Retail,3,FUTURO PROTETTO,PROTECTION,1/23/2016,1,2016,Q1,Agency,2,,Lost,Maturity,490.1039695
46,35,CLP,12,DOPPIO VALORE,INVESTMENT,1/2/2016,1,2016,Q1,Bank,,1,Lost,Surrender/Conversion,16162.37651
